,chunk,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Book,TopEmotion1,TopEmotion2,TopEmotion3,Filename_x,Query,Filename_y,ISBN13,Title,Author,PublishedDate,ImgURL,NumPages,AvgRtg,Description,BuyLink,Price,Currency,Most Similar Book,2nd Most Similar Book,3rd Most Similar Book,book_updated
10,11,0.11426040744021258,0.14614703277236493,0.08680248007085917,0.14526129317980513,0.12843224092116917,0.1328609388839681,0.07440212577502214,0.17183348095659876,0.4730831973898858,0.5269168026101142,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
11,12,0.0859453993933266,0.1678463094034378,0.07077856420626896,0.134479271991911,0.1486349848331648,0.1172901921132457,0.07482305358948432,0.20020222446916078,0.3950850661625709,0.6049149338374291,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
12,13,0.11511511511511512,0.15115115115115116,0.09009009009009009,0.13713713713713713,0.12212212212212212,0.15315315315315314,0.06906906906906907,0.16216216216216217,0.4753787878787879,0.5246212121212122,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
13,14,0.07171314741035857,0.2101593625498008,0.055776892430278883,0.09163346613545817,0.18625498007968128,0.14840637450199204,0.06772908366533864,0.16832669322709162,0.43609022556390975,0.5639097744360902,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
14,15,0.0963855421686747,0.14285714285714285,0.09208261617900172,0.153184165232358,0.1316695352839931,0.16351118760757316,0.0783132530120482,0.14199655765920827,0.4982876712328767,0.5017123287671232,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
15,16,0.07264957264957266,0.19017094017094016,0.05876068376068376,0.09935897435897435,0.1858974358974359,0.13782051282051283,0.06944444444444445,0.1858974358974359,0.389413988657845,0.610586011342155,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
16,17,0.08333333333333333,0.15833333333333333,0.06770833333333333,0.10416666666666667,0.17708333333333334,0.1125,0.08229166666666667,0.21458333333333332,0.3413284132841328,0.6586715867158671,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
17,18,0.07857142857142857,0.17261904761904762,0.055952380952380955,0.11190476190476191,0.17142857142857143,0.1261904761904762,0.07857142857142857,0.20476190476190476,0.34475806451612906,0.655241935483871,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
18,19,0.0960820895522388,0.15951492537313433,0.08208955223880597,0.15578358208955223,0.13992537313432835,0.14458955223880596,0.0708955223880597,0.15111940298507462,0.4198895027624309,0.580110497237569,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
19,20,0.1012396694214876,0.1652892561983471,0.05991735537190083,0.07851239669421488,0.11983471074380166,0.10743801652892562,0.030991735537190084,0.3367768595041322,0.313953488372093,0.686046511627907,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
20,1,0.061586638830897704,0.1826722338204593,0.04697286012526096,0.06471816283924843,0.22338204592901878,0.06367432150313153,0.1022964509394572,0.2546972860125261,0.27751196172248804,0.722488038277512,Pride and Prejudice by Jane Austen,trust,anticipation,joy,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen.txt,"{'type': 'OTHER', 'identifier': 'HARVARD:32044086796588'}",Pride and Prejudice,Jane Austen,1918,http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,401,4,"Austen’s most celebrated novel tells the story of Elizabeth Bennet, a bright, lively young woman with four sisters, and a mother determined to marry them to wealthy men. At a party near the Bennets’ home in the English countryside, Elizabeth meets the wealthy, proud Fitzwilliam Darcy. Elizabeth initially finds Darcy haughty and intolerable, but circumstances continue to unite the pair. Mr. Darcy finds himself captivated by Elizabeth’s wit and candor, while her reservations about his character slowly vanish. The story is as much a social critique as it is a love story, and the prose crackles with Austen’s wry wit.",https://play.google.com/store/books/details?id=s1gVAAAAYAAJ&rdid=book-s1gVAAAAYAAJ&rdot=1&source=gbs_api,,,The Scarlet Letter,Moby Dick,"Frankenstein, or, The Modern Prometheus",Pride and Prejudice
21,2,0.05893909626719057,0.18860510805500982,0.04911591355599214,0.0825147347740668,0.2043222003929273,0.08349705304518663,0.08840864440078586,0.24459724950884087,0.32428355957767724,0.6757164404223228,Pride and Prejudice by Jane Austen,trust,anticipation,joy,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen.txt,"{'type': 'OTHER', 'identifier': 'HARVARD:32044086796588'}",Pride and Prejudice,Jane Austen,1918,http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,401,4,"Austen’s most celebrated novel tells the story of Elizabeth Bennet, a bright, lively young woman with four sisters, and a mother determined to marry them to wealthy men. At a party near the Bennets’ home in the English countryside, Elizabeth meets the wealthy, proud Fitzwilliam Darcy. Elizabeth initially finds Darcy haughty and intolerable, but circumstances continue to unite the pair. Mr. Darcy finds himself captivated by Elizabeth’s wit and candor, while her reservations about his character slowly vanish. The story is as much a social critique as it is a love story, and the prose crackles with Austen’s wry wit.",https://play.google.com/store/books/details?id=s1gVAAAAYAAJ&rdid=book-s1gVAAAAYAAJ&rdot=1&source=gbs_api,,,The Scarlet Letter,Moby Dick,"Frankenstein, or, The Modern Prometheus",Pride and Prejudice
22,3,0.06646216768916155,0.18507157464212678,0.04396728016359918,0.08793456032719836,0.19222903885480572,0.08282208588957055,0.09815950920245399,0.24335378323108384,0.3273905996758509,0.6726094003241491,Pride and Prejudice by Jane Austen,trust,anticipation,joy,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen.txt,"{'type': 'OTHER', 'identifier': 'HARVARD:32044086796588'}",Pride and Prejudice,Jane Austen,1918,http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,401,4,"Austen’s most celebrated novel tells the story of Elizabeth Bennet, a bright, lively young woman with four sisters, and a mother determined to marry them to wealthy men. At a party near the Bennets’ home in the English countryside, Elizabeth meets the wealthy, proud Fitzwilliam Darcy. Elizabeth initially finds Darcy haughty and intolerable, but circumstances continue to unite the pair. Mr. Darcy finds himself captivated by Elizabeth’s wit and candor, while her reservations about his character slowly vanish. The story is as much a social critique as it is a love story, and the prose crackles with Austen’s wry wit.",https://play.google.com/store/books/details?id=s1gVAAAAYAAJ&rdid=book-s1gVAAAAYAAJ&rdot=1&source=gbs_api,,,The Scarlet Letter,Moby Dick,"Frankenstein, or, The Modern Prometheus",Pride and Prejudice
23,4,0.06511627906976744,0.20372093023255813,0.045581395348837206,0.08186046511627906,0.1841860465116279,0.08465116279069768,0.09395348837209302,0.24093023255813953,0.28550074738415543,0.7144992526158446,Pride and Prejudice by Jane Austen,trust,anticipation,joy,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen,Pride and Prejudice by Jane Austen.txt,"{'type': 'OTHER', 'identifier': 'HARVARD:32044086796588'}",Pride and Prejudice,Jane Austen,1918,http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,401,4,"Austen’s most celebrated novel tells the story of Elizabeth Bennet, a bright, lively young woman with four sisters, and a mother determined to marry them to wealthy men. At a party near the Bennets’ home in the English countryside, Elizabeth meets the wealthy, proud Fitzwilliam Darcy. Elizabeth initially finds Darcy haughty and intolerable, but circumstances continue to unite the pair. Mr. Darcy finds himself captivated by Elizabeth’s wit and candor, while her reservations about his character slowly vanish. The story is as much a social critique as it is a love story, and the prose crackles with Austen’s wry wit.",https://play.google.com/store/books/details?id=s1gVAAAAYAAJ&rdid=book-s1gVAAAAYAAJ&rdot=1&source=gbs_api,,,The Scarlet Letter,Moby Dick,"Frankenstein, or, The Modern Prometheus",Pride and Prejudice
